Month/Day	SUM of Weight Debt	COUNT of Weight Debt	Daily Average
12-21	35.495	6	5.915833333
12-22	149.26	7	21.32285714
12-23	101.815	5	20.363
12-25	72.425	1	72.425
12-26	50	1	50
12-27	44.145	3	14.715
12-28	82.165	6	13.69416667
12-29	96.425	6	16.07083333
12-30	25.905	2	12.9525
12-31	20.35	3	6.783333333
